Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,Band Gap
BaC10,Cubic,Im-3,204,66,0.22433702,0.171041906,FALSE,723.0114036,3.547489392,FALSE,FALSE,NM,0.000859,0.1823
BaSi2,Cubic,P4_332,212,12,0.029830396,-0.283062856,FALSE,308.940803,4.160162532,FALSE,TRUE,NM,0,0
BaMn28,Cubic,I-43m,217,29,0.200537658,0.200537658,FALSE,345.2003352,8.060207723,FALSE,TRUE,FiM,5.8826635,0
BaSe,Cubic,Pm-3m,221,2,0.201262085,-2.082499696,FALSE,64.70065341,5.550995147,FALSE,FALSE,NM,0,1.2126
BaSm3,Cubic,Pm-3m,221,4,0.209358664,0.209358664,FALSE,152.7694144,6.395735784,FALSE,TRUE,FM,0.5495546,0
BaLa3,Cubic,Pm-3m,221,4,0.165259354,0.165259354,FALSE,163.1466242,5.639164963,FALSE,TRUE,NM,0.3725562,0
BaEu3,Cubic,Pm-3m,221,4,0.078588731,0.078588731,FALSE,208.4281804,4.726152302,FALSE,TRUE,FM,22.6604016,0
BaPb3,Cubic,Pm-3m,221,4,0.031871517,-0.340703278,FALSE,134.5151464,9.368669375,FALSE,TRUE,NM,0,0
BaYb3,Cubic,Pm-3m,221,4,0.354082173,0.354082173,FALSE,140.1524188,7.777645925,FALSE,TRUE,FM,2.1016289,0
K3Ba,Cubic,Pm-3m,221,4,0.130666437,0.130666437,FALSE,282.6745862,1.495746816,FALSE,TRUE,NM,0.1896768,0
BaHg11,Cubic,Pm-3m,221,36,0.023561886,-0.13566562,FALSE,998.7767901,11.69029877,FALSE,TRUE,NM,1.70E-06,0
BaHg,Cubic,Pm-3m,221,2,0,-0.530035256,TRUE,72.96965605,7.689831776,FALSE,TRUE,NM,8.47E-05,0
BaBi3,Cubic,Pm-3m,221,4,0.017992561,-0.460834563,FALSE,136.7844343,9.278082044,FALSE,TRUE,NM,3.00E-07,0
BaTe,Cubic,Pm-3m,221,2,0.16511731,-1.838457348,FALSE,77.44310968,5.680578106,FALSE,FALSE,NM,0,0.7769
BaCd,Cubic,Pm-3m,221,2,0,-0.309211825,TRUE,76.87260827,5.39463555,FALSE,TRUE,NM,3.35E-05,0
BaZn,Cubic,Pm-3m,221,2,0.003523577,-0.16737878,FALSE,67.84309644,4.962200517,FALSE,TRUE,NM,5.00E-07,0
BaB6,Cubic,Pm-3m,221,7,0,-0.409972365,TRUE,78.2054571,4.293170681,FALSE,TRUE,NM,0,0
BaC20,Cubic,Pm-3n,223,126,0.261137551,0.233221062,FALSE,1511.106184,2.489255565,FALSE,FALSE,NM,0.0016608,0.1463
BaSi23,Cubic,Pm-3n,223,48,0.147743728,0.107723061,FALSE,1084.30376,2.39912376,FALSE,TRUE,NM,0.0001423,0
BaTe,Cubic,Fm-3m,225,2,0,-2.003574658,TRUE,89.09415787,4.937715826,FALSE,FALSE,NM,0,1.593
BaF2,Cubic,Fm-3m,225,3,0,-4.162401843,TRUE,60.32690236,4.825907156,FALSE,FALSE,NM,0,6.6029
BaN,Cubic,Fm-3m,225,2,0.517356299,-0.120930268,FALSE,46.9098183,5.356991991,FALSE,TRUE,FM,0.9998126,0
BaSr3,Cubic,Fm-3m,225,4,0.015435395,0.011971805,FALSE,231.7189476,2.867811002,FALSE,TRUE,NM,0.6476869,0
BaMg3,Cubic,Fm-3m,225,4,0.069116046,0.018291886,FALSE,120.0517102,2.908038993,FALSE,TRUE,NM,0.0022326,0
BaRe3,Cubic,Fm-3m,225,4,1.477451398,1.477451398,FALSE,74.13093306,15.58929309,FALSE,TRUE,NM,0.0003448,0
BaEu3,Cubic,Fm-3m,225,4,0.071017979,0.071017979,FALSE,194.1179651,5.074560326,FALSE,TRUE,FM,22.3298458,0
BaYb3,Cubic,Fm-3m,225,4,0.335710537,0.335710537,FALSE,139.0451186,7.839584011,FALSE,TRUE,NM,0.0002843,0
K3Ba,Cubic,Fm-3m,225,4,0.1447874,0.1447874,FALSE,288.3539239,1.466287007,FALSE,TRUE,NM,0.0136454,0
BaSe,Cubic,Fm-3m,225,2,0,-2.283761781,TRUE,74.09331261,4.847306733,FALSE,FALSE,NM,0,1.9488
BaO,Cubic,Fm-3m,225,2,0,-2.823642708,TRUE,43.45357521,5.859229671,TRUE,FALSE,NM,0,2.0906
BaS,Cubic,Fm-3m,225,2,0,-2.329084296,TRUE,67.12620118,4.190346372,FALSE,FALSE,NM,0,2.1488
BaCa3,Cubic,Fm-3m,225,4,0.042773251,0.042773251,FALSE,189.9451313,2.251650777,FALSE,TRUE,NM,1.70E-06,0
