Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,Band Gap
BeAu,Cubic,P2_13,198,8,0,-0.136192664,TRUE,102.9632499,13.28768326,FALSE,TRUE,NM,0,0
BeSe,Cubic,F-43m,216,2,0,-1.029387864,TRUE,34.505773,4.233530574,FALSE,FALSE,NM,0,2.6637
BeO,Cubic,F-43m,216,2,0.006973668,-3.095882135,FALSE,13.69106765,3.033562473,FALSE,FALSE,NM,0,6.8477
BeTe,Cubic,F-43m,216,2,0,-0.570361941,TRUE,45.40050984,4.996636953,FALSE,FALSE,NM,0,2.0173
BeS,Cubic,F-43m,216,2,0,-1.307251374,TRUE,28.88072105,2.36179233,FALSE,FALSE,NM,0,3.1453
BeCl2,Cubic,I-43m,217,36,3.168798597,1.322624015,FALSE,15120.78992,0.105317723,TRUE,FALSE,FM,22.967908,0.0968
BeCl2,Cubic,I-43m,217,18,0.018704433,-1.827470149,FALSE,469.9070037,1.694470552,FALSE,FALSE,NM,0,6.5805
BeF2,Cubic,I-43m,217,36,0,-3.551075402,TRUE,568.9419262,1.64643015,FALSE,FALSE,NM,0,8.0368
BeCl2,Cubic,I-43m,217,72,0.014751424,-1.831423158,FALSE,3874.562937,0.822021573,FALSE,FALSE,NM,0.0010609,6.636
BeNi,Cubic,Pm-3m,221,2,0,-0.468281252,TRUE,17.31366777,6.493584457,FALSE,TRUE,NM,1.77E-05,0
LiBe,Cubic,Pm-3m,221,2,0.365983431,0.365983431,FALSE,22.21536482,1.19245766,FALSE,TRUE,NM,0.0014896,0
BePd,Cubic,Pm-3m,221,2,0,-0.592710823,TRUE,22.22684775,8.62378912,FALSE,TRUE,NM,1.96E-05,0
BeRh,Cubic,Pm-3m,221,2,0,-0.607815922,TRUE,21.20536146,8.763995066,FALSE,TRUE,NM,4.63E-05,0
TiBe,Cubic,Pm-3m,221,2,0.005038838,-0.140298169,FALSE,25.13476743,3.757747274,FALSE,TRUE,NM,5.90E-06,0
BeCr3,Cubic,Pm-3m,221,4,0.20930764,0.126639486,FALSE,43.28843633,6.329398094,FALSE,TRUE,NM,0.0034727,0
BeGe3,Cubic,Pm-3m,221,4,0.533099702,0.533099702,FALSE,68.08449562,5.534736657,FALSE,TRUE,NM,9.09E-05,0
BeCu,Cubic,Pm-3m,221,2,0.005036343,-0.100244308,FALSE,19.08699161,6.312450819,FALSE,TRUE,NM,0,0
BeCo,Cubic,Pm-3m,221,2,0,-0.293325818,TRUE,17.00935802,6.633169387,FALSE,TRUE,FM,0.3810625,0
Th3Be,Cubic,Pm-3m,221,4,0.333710156,0.291430289,FALSE,109.2836372,10.71422859,FALSE,TRUE,NM,0.0056125,0
BeAu3,Cubic,Pm-3m,221,4,0.18183134,0.080005124,FALSE,64.56353397,15.42940832,FALSE,TRUE,NM,0.002096,0
BeNi3,Cubic,Pm-3m,221,4,0.072911033,-0.161229594,FALSE,39.96436471,7.690679772,FALSE,TRUE,FM,1.2090081,0
BeAg3,Cubic,Pm-3m,221,4,0.228242243,0.228242243,FALSE,63.55540151,8.690420445,FALSE,TRUE,NM,0.0014335,0
BeMo3,Cubic,Pm-3n,223,8,0.121622798,0.001654114,FALSE,114.3980851,8.617302186,FALSE,TRUE,NM,0.0058509,0
BeC2,Cubic,Pn-3m,224,12,1.12710952,1.011457627,FALSE,204.7148115,1.071804293,FALSE,FALSE,NM,0.0006109,3.2247
BeSe,Cubic,Fm-3m,225,2,0.545039295,-0.484348569,FALSE,29.84865969,4.894063804,FALSE,TRUE,NM,4.10E-06,0
K3Be,Cubic,Fm-3m,225,4,0.671769491,0.671769491,FALSE,180.2557277,1.163557168,FALSE,TRUE,NM,0.0131663,0
BeO,Cubic,Fm-3m,225,2,0.481474728,-2.621381075,FALSE,12.14922896,3.418546903,FALSE,FALSE,NM,0,8.1681
Na3Be,Cubic,Fm-3m,225,4,0.52555813,0.52555813,FALSE,103.2408223,1.254264617,FALSE,TRUE,NM,4.30E-06,0
Np3Be,Cubic,Fm-3m,225,4,0.258419146,0.241182455,FALSE,62.39923689,19.16062465,FALSE,TRUE,NM,0.0036975,0
BeZn13,Cubic,Fm-3c,226,28,0.205719468,0.205719468,FALSE,453.7327506,6.289824466,FALSE,TRUE,NM,0.0033835,0
