Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Volume,Density,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,Band gap
CaSe,Cubic,F-43m,216,2,0.258026135,-2.057931685,71.874,2.750191299,FALSE,FALSE,NM,0.0002196,3.1661
CaZn,Cubic,F-43m,216,2,0.626166483,0.378672365,77.35747119,2.264361565,FALSE,TRUE,NM,0.0004299,0
CaAu5,Cubic,F-43m,216,6,0,-0.452440077,118.6235498,14.34710478,FALSE,TRUE,NM,0,0
CaMn28,Cubic,I-43m,217,29,0.070279324,0.070279324,336.3568456,7.792024091,FALSE,TRUE,FiM,3.1152449,0
CaZn,Cubic,Pm-3m,221,2,0.02615939,-0.221334727,48.57453555,3.60611342,FALSE,TRUE,NM,1.60E-06,0
CaMg,Cubic,Pm-3m,221,2,0.000299101,-0.064207487,62.38834479,1.713629157,FALSE,TRUE,NM,0.0074709,0
CaNi,Cubic,Pm-3m,221,2,0.165649806,0.023789325,40.2260102,4.077306388,FALSE,TRUE,NM,1.00E-07,0
CaTe,Cubic,Pm-3m,221,2,0.312249995,-1.60526402,60.51561883,4.601057958,FALSE,TRUE,NM,0.0001647,0
CaCd,Cubic,Pm-3m,221,2,0,-0.33554151,55.27413501,4.581056613,FALSE,TRUE,NM,8.20E-06,0
CaMg3,Cubic,Pm-3m,221,4,0.057564837,-0.006941751,107.4392888,1.746375026,FALSE,TRUE,NM,2.61E-05,0
CaZn3,Cubic,Pm-3m,221,4,0.158910469,-0.106513075,81.45504995,4.817303339,FALSE,TRUE,NM,0.0020407,0
CaHg,Cubic,Pm-3m,221,2,0,-0.592781649,52.93098816,7.550182417,FALSE,TRUE,NM,4.00E-07,0
CaSn3,Cubic,Pm-3m,221,4,0,-0.406844409,106.6092766,6.171309698,FALSE,TRUE,NM,1.21E-05,0
Ba3Ca,Cubic,Pm-3m,221,4,0.040354355,0.040354355,244.7189596,3.067443696,FALSE,TRUE,NM,0.4961043,0
CaTb3,Cubic,Pm-3m,221,4,0.12891514,0.12891514,133.4208459,6.432700497,FALSE,TRUE,FM,0.3070624,0
CaYb3,Cubic,Pm-3m,221,4,0.173461741,0.173461741,130.450335,7.11818889,FALSE,TRUE,FM,2.9239162,0
K3Ca,Cubic,Pm-3m,221,4,0.158565878,0.158565878,252.9308179,1.033183108,FALSE,TRUE,NM,0.0905151,0
Na3Ca,Cubic,Pm-3m,221,4,0.088699195,0.088699195,153.5279416,1.17944208,FALSE,TRUE,NM,0.0627156,0
Sr3Ca,Cubic,Pm-3m,221,4,0.039014965,0.039014965,214.7875174,2.34203733,FALSE,TRUE,NM,0.965911,0
