Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Volume,Density,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,Band Gap
AgHg,Cubic,P2_13,198,8,0.08343215,0.08343215,169.2466321,12.10557363,FALSE,TRUE,NM,0.0004818,0
HgPd,Cubic,P2_13,198,8,0.072487467,-0.094228044,150.8510059,13.51802982,FALSE,TRUE,NM,0.0018952,0
HgS,Cubic,F-43m,216,2,0,-0.37553993,52.37828747,7.375818019,FALSE,TRUE,NM,1.00E-07,0
HgTe,Cubic,F-43m,216,2,0,-0.190136609,71.22155217,7.651789376,FALSE,TRUE,NM,0,0
HgSe,Cubic,F-43m,216,2,0.001414385,-0.235506328,59.37040878,7.818772106,FALSE,TRUE,NM,2.00E-07,0
HgPt3,Cubic,Pm-3m,221,4,0.102995956,0.064538569,67.54693904,19.3187339,FALSE,TRUE,NM,2.72E-05,0
NiHg,Cubic,Pm-3m,221,2,0.218530568,0.218530568,31.32600007,13.744181,FALSE,TRUE,NM,4.56E-05,0
HoHg,Cubic,Pm-3m,221,2,0,-0.573105731,49.68005655,12.21739292,FALSE,TRUE,NM,2.90E-06,0
HgB6,Cubic,Pm-3m,221,7,0.40558804,0.40558804,73.72266037,5.979166464,FALSE,TRUE,NM,0.0003885,0
CaHg,Cubic,Pm-3m,221,2,0,-0.592781649,52.93098816,7.550182417,FALSE,TRUE,NM,4.00E-07,0
EuHg,Cubic,Pm-3m,221,2,0,-0.612523671,58.00419895,10.09288466,FALSE,TRUE,FM,7.1685806,0
NdHg,Cubic,Pm-3m,221,2,0,-0.557895587,55.598968,10.29887834,FALSE,TRUE,FM,0.4047966,0
GdHg,Cubic,Pm-3m,221,2,0,-0.536089759,52.06701194,11.41235645,FALSE,TRUE,FM,7.9504445,0
PrHg,Cubic,Pm-3m,221,2,0,-0.54808898,56.87503991,9.970457865,FALSE,TRUE,FM,0.4098296,0
TmHg,Cubic,Pm-3m,221,2,0,-0.565094674,48.40295253,12.67710655,FALSE,TRUE,NM,5.00E-07,0
ScHg,Cubic,Pm-3m,221,2,0,-0.481826396,43.08083746,9.464499845,FALSE,TRUE,NM,1.00E-07,0
TlHg,Cubic,Pm-3m,221,2,0.014844768,-0.003333104,56.82733556,11.83363568,FALSE,TRUE,NM,1.10E-06,0
Dy3Hg,Cubic,Pm-3m,221,4,0.092347217,-0.196670596,110.9532682,10.29803218,FALSE,TRUE,FM,0.8989564,0
Er3Hg,Cubic,Pm-3m,221,4,0.094196477,-0.187677428,108.4949552,10.74988086,FALSE,TRUE,FM,0.8479014,0
HgGe3,Cubic,Pm-3m,221,4,0.342304455,0.342304455,84.92348682,8.183274507,FALSE,TRUE,NM,4.61E-05,0
Lu3Hg,Cubic,Pm-3m,221,4,0.08639078,-0.187661864,104.7964847,11.49567327,FALSE,TRUE,NM,0.4499359,0
Cs3Hg,Cubic,Pm-3m,221,4,0.110630555,0.007195475,312.1537772,3.188081289,FALSE,TRUE,NM,0.0020198,0
Pa3Hg,Cubic,Pm-3m,221,4,0.151860039,0.151860039,99.17203039,14.96409662,FALSE,TRUE,NM,0.002851,0
Sc3Hg,Cubic,Pm-3m,221,4,0.021109169,-0.249755198,88.99435748,6.259280831,FALSE,TRUE,FM,1.1307039,0
Tb3Hg,Cubic,Pm-3m,221,4,0.087682025,-0.202957504,112.1542921,10.02897676,FALSE,TRUE,FM,0.8562967,0
Sr3Hg,Cubic,Pm-3m,221,4,0.164795232,-0.111695373,167.5575407,4.592910753,FALSE,TRUE,NM,0.3588138,0
Tm3Hg,Cubic,Pm-3m,221,4,0.092455349,-0.190091988,106.7044295,11.0084755,FALSE,TRUE,FM,0.7188982,0
MgHg,Cubic,Pm-3m,221,2,0,-0.197228514,40.95875791,9.117633259,FALSE,TRUE,NM,0,0
HgTe,Cubic,Pm-3m,221,2,0.421998095,0.231861486,55.34201473,9.847352305,FALSE,TRUE,NM,0.0002275,0
LiHg,Cubic,Pm-3m,221,2,0,-0.376031632,35.98053074,9.577772367,FALSE,TRUE,NM,3.00E-07,0
TbHg,Cubic,Pm-3m,221,2,0,-0.581279059,51.11887508,11.67845112,FALSE,TRUE,NM,6.10E-06,0
BaHg,Cubic,Pm-3m,221,2,0,-0.530035256,72.96965605,7.689831776,FALSE,TRUE,NM,8.47E-05,0
MnHg,Cubic,Pm-3m,221,2,0.332727874,0.332727874,36.96427363,11.47903799,FALSE,TRUE,FM,3.9148162,0
YHg,Cubic,Pm-3m,221,2,0,-0.585943524,50.90951433,9.442619417,FALSE,TRUE,NM,1.07E-05,0
DyHg,Cubic,Pm-3m,221,2,0,-0.578035626,50.37446119,11.96886509,FALSE,TRUE,NM,0,0
ErHg,Cubic,Pm-3m,221,2,0,-0.56374781,49.02000494,12.46078281,FALSE,TRUE,NM,3.00E-07,0
YbHg,Cubic,Pm-3m,221,2,0,-0.573664111,47.68439286,13.01111694,FALSE,TRUE,NM,2.00E-07,0
LuHg,Cubic,Pm-3m,221,2,0,-0.548105287,47.04704569,13.25539279,FALSE,TRUE,NM,3.00E-07,0
Ti3Hg,Cubic,Pm-3m,221,4,0.070988241,-0.057674754,70.95532167,8.054964566,FALSE,TRUE,NM,0.0168308,0
SrHg,Cubic,Pm-3m,221,2,0,-0.525794336,62.2402327,7.689302299,FALSE,TRUE,NM,9.00E-06,0
Ca3Hg,Cubic,Pm-3m,221,4,0.10342174,-0.22900156,132.6654361,4.01567131,FALSE,TRUE,NM,0.2156009,0
CeHg,Cubic,Pm-3m,221,2,0,-0.467944744,56.69031035,9.979758794,FALSE,TRUE,FM,1.3737481,0
AgHg,Cubic,Pm-3m,221,2,0.085358954,0.085358954,41.17817389,12.43879568,FALSE,TRUE,NM,9.00E-07,0
LaHg,Cubic,Pm-3m,221,2,0,-0.579265096,59.22486587,9.518729719,FALSE,TRUE,NM,0.2516041,0
HgPd3,Cubic,Pm-3m,221,4,0.02206283,-0.113553506,64.93550601,13.2936707,FALSE,TRUE,NM,7.21E-05,0
Tl3Hg,Cubic,Pm-3m,221,4,0.027282112,0.018193176,114.1029951,11.84234378,FALSE,TRUE,NM,1.00E-07,0
Ni3Hg,Cubic,Pm-3m,221,4,0.221218504,0.221218504,52.51997403,11.90928963,FALSE,TRUE,FM,0.8930431,0
Rb3Hg,Cubic,Pm-3m,221,4,0.063805807,-0.043141509,253.6630643,2.991588058,FALSE,TRUE,NM,0.0091977,0
Mn3Hg,Cubic,Pm-3m,221,4,0.427677788,0.427677788,64.47213225,9.41131959,FALSE,TRUE,FM,10.7879238,0
Ho3Hg,Cubic,Pm-3m,221,4,0.094043335,-0.192509531,109.6922966,10.52678525,FALSE,TRUE,FM,0.9055181,0
Mg3Hg,Cubic,Pm-3m,221,4,0.017491376,-0.114536077,82.58818699,5.499161006,FALSE,TRUE,NM,0,0
HgBi3,Cubic,Pm-3m,221,4,0.125785794,0.125785794,121.750325,11.28660549,FALSE,TRUE,NM,0.0125937,0
Ag3Hg,Cubic,Pm-3m,221,4,0.031824622,0.031824622,73.67147337,11.81523284,FALSE,TRUE,NM,1.00E-07,0
Zr3Hg,Cubic,Pm-3n,223,8,0,-0.179214738,174.7912686,9.011097468,FALSE,TRUE,NM,3.16E-05,0
Ti3Hg,Cubic,Pm-3n,223,8,0,-0.128662996,138.7567792,8.238049417,FALSE,TRUE,NM,5.00E-07,0
HgS,Cubic,Fm-3m,225,2,0.176340135,-0.199199795,43.47101682,8.887133194,FALSE,TRUE,NM,8.83E-05,0
HgF3,Cubic,Fm-3m,225,4,0.157366692,-1.022016968,46.94310968,9.11167382,FALSE,TRUE,FM,0.9973082,0
Li3Hg,Cubic,Fm-3m,225,4,0.00129759,-0.293955132,68.20151156,5.390861991,FALSE,TRUE,NM,1.22E-05,0
HgTe,Cubic,Fm-3m,225,2,0.149671325,-0.040465284,58.2722818,9.352170524,FALSE,TRUE,NM,0.0002341,0
Na3Hg,Cubic,Fm-3m,225,4,0.018893951,-0.132744349,110.1440245,4.063895099,FALSE,TRUE,NM,0,0
HgO,Cubic,Fm-3m,225,2,0.147903039,-0.487154444,30.02449089,11.97872635,FALSE,TRUE,NM,0.0018235,0
HgF2,Cubic,Fm-3m,225,3,0,-1.572511546,42.88560781,9.238127499,TRUE,FALSE,NM,9.00E-05,0.9687
HgSe,Cubic,Fm-3m,225,2,0.15143685,-0.085483863,49.01109182,9.471400836,FALSE,TRUE,NM,0.000149,0
Rb3Hg,Cubic,Fm-3m,225,4,0.068623684,-0.038323631,254.0581118,2.98693629,FALSE,TRUE,NM,0.0056047,0
K3Hg,Cubic,Fm-3m,225,4,0.111821893,-0.018773012,191.7902104,2.75227966,FALSE,TRUE,NM,3.80E-05,0
HgN2,Cubic,Fd-3m,227,6,2.721214775,2.721214775,263.1477935,2.885107805,FALSE,FALSE,FM,7.9999998,0.9169
Hg2N,Cubic,Fd-3m,227,6,0.723519302,0.723519302,272.6666358,5.056971735,FALSE,TRUE,NM,0.0002365,0
TlHg3,Cubic,Pm-3m,221,4,0,-0.027266808,110.9724343,12.06289703,FALSE,TRUE,NM,0,0
AgHg3,Cubic,Pm-3m,221,4,0.112961487,0.112961487,91.42263396,12.88938968,FALSE,TRUE,NM,0.0014049,0
CrHg3,Cubic,Pm-3m,221,4,0.361506951,0.361506951,87.47741453,12.41010786,FALSE,TRUE,FM,4.2084204,0
Hg3Pt,Cubic,Pm-3m,221,4,0.296859886,0.181487724,81.98525125,16.13957605,FALSE,TRUE,NM,0.000667,0
KHg3,Cubic,Pm-3m,221,4,0.040811829,-0.211589834,120.605197,8.823722983,FALSE,TRUE,NM,4.00E-07,0
MgHg3,Cubic,Pm-3m,221,4,0.044199924,-0.054414333,89.63555982,11.598321,FALSE,TRUE,NM,1.00E-07,0
NaHg3,Cubic,Pm-3m,221,4,0.018782196,-0.193960483,99.93795842,10.38082047,FALSE,TRUE,NM,2.17E-05,0
MnHg3,Cubic,Pm-3m,221,4,0.294414592,0.294414592,86.2249395,12.64702962,FALSE,TRUE,FM,4.1259585,0
ZrHg3,Cubic,Pm-3m,221,4,0.021713066,-0.061653719,86.21855103,13.34682149,FALSE,TRUE,NM,7.00E-06,0
ZnHg3,Cubic,Pm-3m,221,4,0.128094709,0.128094709,95.02051121,11.65934365,FALSE,TRUE,NM,0.0002208,0
Hg3Au,Cubic,Pm-3m,221,4,0.151702524,0.150807638,91.96543458,14.42208459,FALSE,TRUE,NM,0.0011203,0
Hg3F,Cubic,Pm-3m,221,4,0.168698856,-0.488335143,86.43625111,11.92566975,FALSE,TRUE,NM,0.0002266,0
Hg3C,Cubic,Pm-3m,221,4,1.522942342,1.522942342,78.52195523,12.97989623,FALSE,TRUE,NM,0.0107523,0
Hg3Pd,Cubic,Pm-3m,221,4,0.147029036,0.063671281,83.16446917,14.14037958,FALSE,TRUE,NM,0.0002765,0
LiHg3,Cubic,Pm-3m,221,4,0.029448351,-0.171364115,86.77917874,11.64782164,FALSE,TRUE,NM,0,0
Hg3Bi,Cubic,Pm-3m,221,4,0.115784251,0.115784251,107.8007673,12.48861901,FALSE,TRUE,NM,0.0004974,0
CoHg3,Cubic,Pm-3m,221,4,0.47417641,0.47417641,78.86903396,13.91069995,FALSE,TRUE,FM,1.3630088,0
CdHg3,Cubic,Fm-3m,225,4,0.036664294,0.036664294,99.09427734,11.96764821,FALSE,TRUE,NM,0,0
GaHg3,Cubic,Fm-3m,225,4,0.069223859,0.069223859,100.5132083,11.09347098,FALSE,TRUE,NM,0.0272248,0
Hg3P,Cubic,Fm-3m,225,4,0.449327303,0.449327303,92.25150866,11.38946941,FALSE,TRUE,NM,0.0025382,0
Hg3Sb,Cubic,Fm-3m,225,4,0.117227514,0.117227514,106.3059304,11.3018138,FALSE,TRUE,NM,0.0017931,0
Hg3Cl,Cubic,Fm-3m,225,4,0.194444748,-0.116181159,107.563663,9.837278277,FALSE,TRUE,NM,9.19E-05,0
KHg3,Cubic,Fm-3m,225,4,0.034403512,-0.217998152,118.6493686,8.969174139,FALSE,TRUE,NM,0,0
