Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,Band Gap
MgPt,Cubic,P2_13,198,8,0,-0.696493015,TRUE,128.1956189,11.36712809,FALSE,TRUE,NM,0,0
MgH2,Cubic,Pa-3,205,12,0.035299783,-0.247419289,FALSE,109.8495295,1.591517041,FALSE,FALSE,NM,0,2.9992
MgSe2,Cubic,Pa-3,205,12,0,-1.133252947,TRUE,269.5858268,4.489727595,FALSE,FALSE,NM,0,1.9685
MgF2,Cubic,Pa-3,205,12,0.066078346,-3.757962571,FALSE,125.9277106,3.286157841,TRUE,FALSE,NM,0,6.7193
MgO2,Cubic,Pa-3,205,12,0.014843958,-2.010695488,FALSE,112.5815062,3.321847881,FALSE,FALSE,NM,0,3.734
MgTe2,Cubic,Pa-3,205,12,0,-0.849417595,TRUE,356.0161089,5.214696304,FALSE,FALSE,NM,0,1.1162
MgAl,Cubic,F-43m,216,2,0.913326449,0.903121803,FALSE,66.51837851,1.280297308,FALSE,TRUE,NM,0.0065327,0
MgCd,Cubic,F-43m,216,2,0.589996971,0.495365143,FALSE,73.42508978,3.091889431,FALSE,TRUE,NM,0.0001794,0
CeMg,Cubic,F-43m,216,8,1.385393009,1.349000783,FALSE,390.9116478,2.793751431,TRUE,FALSE,FM,8.2297035,0.1128
HfMg,Cubic,F-43m,216,2,2.183545223,2.183545223,FALSE,70.60790068,4.769282428,FALSE,TRUE,NM,0.320299,0
SrMg,Cubic,F-43m,216,2,0.763953161,0.696332211,FALSE,120.8524632,1.537873785,FALSE,TRUE,NM,0.2148265,0
YMg,Cubic,F-43m,216,2,1.332473085,1.258095603,FALSE,89.1183804,2.109453048,FALSE,TRUE,NM,0.0001411,0
MgGa,Cubic,F-43m,216,2,0.68504372,0.551820539,FALSE,62.15996476,2.511860616,FALSE,TRUE,NM,0.0045261,0
MgSe,Cubic,F-43m,216,2,0.005939895,-1.468356819,FALSE,52.33941428,3.2762225,TRUE,FALSE,NM,0,2.5476
MgS,Cubic,F-43m,216,2,0.034344235,-1.627159214,FALSE,45.48046821,2.058127167,TRUE,FALSE,NM,0,3.3692
MgTe,Cubic,F-43m,216,2,0,-1.071569803,TRUE,67.52173262,3.735748138,TRUE,FALSE,NM,0,2.3186
MgO,Cubic,Pm-3m,221,2,0.748437905,-2.289871265,FALSE,18.8501917,3.550469504,FALSE,FALSE,NM,0.0019019,2.2579
MgNi,Cubic,Pm-3m,221,4,0.044288366,-0.137469887,FALSE,54.42333835,5.064815568,FALSE,TRUE,FM,0.3900226,0
MgCd,Cubic,Pm-3m,221,2,0.030768573,-0.063863256,FALSE,41.89386593,5.418985668,FALSE,TRUE,NM,0,0
MgAl,Cubic,Pm-3m,221,2,0.090222619,0.080017973,FALSE,38.60823461,2.205832558,FALSE,TRUE,NM,0.0028579,0
CaMg,Cubic,Pm-3m,221,2,0.000299101,-0.064207487,FALSE,62.38834479,1.713629157,FALSE,TRUE,NM,0.0074709,0
MgBi,Cubic,Pm-3m,221,2,0.104569445,-0.044318838,FALSE,53.65954735,7.219209619,FALSE,TRUE,NM,0.0028023,0
CeMg,Cubic,Pm-3m,221,2,0.105839762,0.069447536,FALSE,56.56658818,4.826656559,FALSE,TRUE,NM,0.0027652,0
MgNi3,Cubic,Pm-3m,221,4,0.093589758,-0.064272374,FALSE,48.33522885,6.884160081,FALSE,TRUE,FM,1.2355652,0
MgSn,Cubic,Pm-3m,221,2,0.055988379,-0.069335705,FALSE,47.56178652,4.993126037,FALSE,TRUE,NM,5.00E-07,0
MgTi,Cubic,Pm-3m,221,2,0.276470796,0.276470796,FALSE,37.7958837,3.170832742,FALSE,TRUE,NM,0.0031446,0
MgZr,Cubic,Pm-3m,221,2,0.102889527,0.102889527,FALSE,43.86074442,4.373852299,FALSE,TRUE,NM,0.0044714,0
MgZr3,Cubic,Pm-3m,221,4,0.019266546,0.019266546,FALSE,89.95386522,5.500624662,FALSE,TRUE,NM,1.00E-07,0
Y3Mg,Cubic,Pm-3m,221,4,0.101285393,0.064096651,FALSE,120.9867575,3.994274444,FALSE,TRUE,NM,0.7166856,0
MgZn,Cubic,Pm-3m,221,2,0.043204822,-0.063049163,FALSE,34.73906137,4.288360017,FALSE,TRUE,NM,0,0
Sr3Mg,Cubic,Pm-3m,221,4,0.07438253,0.040572055,FALSE,180.3831947,2.643531743,FALSE,TRUE,NM,0.3381377,0
MgSn3,Cubic,Pm-3m,221,4,0.034545789,-0.028116252,FALSE,101.8654753,6.201582805,FALSE,TRUE,NM,0,0
MgCd3,Cubic,Pm-3m,221,4,0.018096665,-0.029219249,FALSE,84.89289956,7.07182787,FALSE,TRUE,NM,7.00E-07,0
MgGa,Cubic,Pm-3m,221,2,0.022138305,-0.111084876,FALSE,36.90805428,4.230436158,FALSE,TRUE,NM,5.64E-05,0
La3Mg,Cubic,Pm-3m,221,4,0.043494909,-0.006906995,FALSE,135.725053,5.395711876,FALSE,TRUE,NM,0.924098,0
Ca3Mg,Cubic,Pm-3m,221,4,0.028335638,-0.003917656,FALSE,147.9362961,1.622405471,FALSE,TRUE,NM,3.43E-05,0
MgZn3,Cubic,Pm-3m,221,4,0.051993238,-0.046981436,FALSE,62.39534439,5.869059704,FALSE,TRUE,NM,0,0
LiMg,Cubic,Pm-3m,221,2,0.006518542,-0.045694331,FALSE,39.83790512,1.302407933,FALSE,TRUE,NM,1.42E-05,0
Ce3Mg,Cubic,Pm-3m,221,4,0.103013718,0.084817605,FALSE,111.6103443,6.615548782,FALSE,TRUE,FM,3.0648428,0
MgSb,Cubic,Pm-3m,221,2,0.169059674,-0.187716442,FALSE,48.83958115,4.966189984,FALSE,TRUE,NM,0.000463,0
MgGa3,Cubic,Pm-3m,221,4,0.02010695,-0.081108974,FALSE,70.36305282,5.509890241,FALSE,TRUE,NM,4.00E-07,0
HfMg,Cubic,Pm-3m,221,2,0.231853818,0.231853818,FALSE,42.41339606,7.939685365,FALSE,TRUE,NM,9.90E-06,0
LaMg,Cubic,Pm-3m,221,2,0.005696518,-0.09510729,FALSE,62.92686334,4.306862715,FALSE,TRUE,NM,0.0007751,0
MgTl,Cubic,Pm-3m,221,2,0,-0.016988674,TRUE,48.1412535,7.888158879,FALSE,TRUE,NM,8.70E-06,0
MgRh,Cubic,Pm-3m,221,2,0,-0.449774438,TRUE,29.41351942,7.181663708,FALSE,TRUE,NM,1.00E-07,0
MgSc,Cubic,Pm-3m,221,2,0.001373465,-0.02500986,FALSE,46.51816018,2.472377448,FALSE,TRUE,NM,0.2771671,0
Eu3Mg,Cubic,Pm-3m,221,4,0.053129325,0.020919695,FALSE,148.7989293,5.358814622,FALSE,TRUE,FM,23.5463646,0
K3Mg,Cubic,Pm-3m,221,4,0.151470888,0.151470888,FALSE,218.7567898,1.074856538,FALSE,TRUE,NM,0.002903,0
MgAu3,Cubic,Pm-3m,221,4,0.016649699,-0.383665699,FALSE,69.25069708,14.7517858,FALSE,TRUE,NM,3.10E-06,0
MgC,Cubic,Pm-3m,221,2,1.251291384,1.251291384,FALSE,22.04548327,2.735419217,FALSE,TRUE,NM,0.0002688,0
MgHg3,Cubic,Pm-3m,221,4,0.044199924,-0.054414333,FALSE,89.63555982,11.598321,FALSE,TRUE,NM,1.00E-07,0
MgNb3,Cubic,Pm-3m,221,4,0.264392964,0.264392964,FALSE,74.18959989,6.782398387,FALSE,TRUE,NM,0.0063181,0
MgNp3,Cubic,Pm-3m,221,4,0.685778366,0.685778366,FALSE,96.50021375,12.65284947,FALSE,TRUE,FM,12.6388154,0
MgTi3,Cubic,Pm-3m,221,4,0.162607909,0.162607909,FALSE,71.94281659,3.875501207,TRUE,FALSE,NM,0.0037736,0.0108
Na3Mg,Cubic,Pm-3m,221,4,0.101281967,0.101281967,FALSE,129.4219161,1.196749645,FALSE,TRUE,NM,0.0006192,0
Nd3Mg,Cubic,Pm-3m,221,4,0.056144116,0.009250881,FALSE,128.9942631,5.8833456,FALSE,TRUE,FM,1.1366518,0
HoMg,Cubic,Pm-3m,221,2,0,-0.050898225,TRUE,53.70047586,5.851580207,FALSE,TRUE,NM,1.00E-07,0
NdMg,Cubic,Pm-3m,221,2,0,-0.093786471,TRUE,58.93084394,4.749276599,FALSE,TRUE,NM,1.07E-05,0
MgHg,Cubic,Pm-3m,221,2,0,-0.197228514,TRUE,40.95875791,9.117633259,FALSE,TRUE,NM,0,0
TmMg,Cubic,Pm-3m,221,2,0,-0.074637223,TRUE,52.60666909,6.099630769,FALSE,TRUE,NM,1.01E-05,0
MgIn,Cubic,Pm-3m,221,2,0.033975275,-0.042037471,FALSE,45.55285008,5.071453843,FALSE,TRUE,NM,0,0
PrMg,Cubic,Pm-3m,221,2,0,-0.090499218,TRUE,60.16582935,4.559765278,FALSE,TRUE,NM,2.97E-05,0
TbMg,Cubic,Pm-3m,221,2,0,-0.068604871,TRUE,54.82288285,5.549893375,FALSE,TRUE,NM,1.30E-06,0
MgIn3,Cubic,Pm-3m,221,4,0.037806169,-0.000200204,FALSE,96.59998795,6.338910994,FALSE,TRUE,NM,1.07E-05,0
DyMg,Cubic,Pm-3m,221,2,0,-0.058876588,TRUE,54.13364935,5.730206703,FALSE,TRUE,NM,0,0
EuMg,Cubic,Pm-3m,221,2,0.016100731,-0.04831853,FALSE,66.00454386,4.434566829,FALSE,TRUE,FM,7.3190722,0
LuMg,Cubic,Pm-3m,221,2,0,-0.030598616,TRUE,51.29266344,6.451194356,FALSE,TRUE,NM,5.89E-05,0
ErMg,Cubic,Pm-3m,221,2,0,-0.051854572,TRUE,53.17991014,5.981572834,FALSE,TRUE,NM,3.03E-05,0
SmMg,Cubic,Pm-3m,221,2,0,-0.084520125,TRUE,57.18366378,5.072043952,FALSE,TRUE,FM,0.1588045,0
SrMg,Cubic,Pm-3m,221,2,0.046758608,-0.020862343,FALSE,73.57681458,2.526010892,FALSE,TRUE,NM,0,0
GdMg,Cubic,Pm-3m,221,2,0,-0.078808442,TRUE,56.20987375,5.363455744,FALSE,TRUE,FM,8.0174808,0
MgCu,Cubic,Pm-3m,221,4,0.030953456,-0.074831117,FALSE,62.84638701,4.642431315,FALSE,TRUE,NM,0,0
MgAg,Cubic,Pm-3m,221,2,0,-0.230418723,TRUE,36.0657956,6.085510065,FALSE,TRUE,NM,0,0
MgAg3,Cubic,Pm-3m,221,4,0.01039144,-0.136111096,FALSE,69.85153516,8.270648328,FALSE,TRUE,NM,0,0
MgPt3,Cubic,Pm-3m,221,4,0,-0.570277339,TRUE,60.73654899,16.66530662,FALSE,TRUE,NM,5.30E-06,0
MgAu,Cubic,Pm-3m,221,2,0,-0.591989967,TRUE,35.07943275,10.47423108,FALSE,TRUE,NM,4.00E-07,0
