Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,Band Gap
CO,Cubic,P2_13,198,8,0.661228342,-0.66589346,FALSE,212.1147941,0.877107427,TRUE,FALSE,NM,0.0012079,6.1541
N2O,Cubic,P2_13,198,12,0.156233046,-0.186609907,FALSE,180.3503315,1.620955686,FALSE,FALSE,NM,0,6.2369
N2O,Cubic,Pa-3,205,12,1.666056253,1.323213301,FALSE,210.2798385,1.390242153,FALSE,FALSE,NM,0.0005188,3.3297
MnO,Cubic,F-43m,216,2,0.13313903,-1.899430736,FALSE,28.67446005,4.107990124,TRUE,FALSE,FM,4.9999661,0.0053
BeO,Cubic,F-43m,216,2,0.006973668,-3.095882135,FALSE,13.69106765,3.033562473,FALSE,FALSE,NM,0,6.8477
ZnO,Cubic,F-43m,216,2,0.00806893,-1.782830182,FALSE,23.68147459,5.708336617,TRUE,FALSE,NM,0,0.6309
CoO,Cubic,F-43m,216,4,0,-1.271831146,TRUE,45.64583883,5.451909946,TRUE,FALSE,AFM,7.00E-07,0.588
ZrO,Cubic,F-43m,216,2,0.424779199,-2.481855173,FALSE,31.75262087,5.607368452,FALSE,TRUE,NM,0.0062421,0
GdO,Cubic,F-43m,216,2,0.198591606,-3.047584888,FALSE,39.19714317,7.339499099,FALSE,TRUE,FM,6.0406184,0
AgO,Cubic,F-43m,216,2,0.308693457,-0.133878308,FALSE,32.52392918,6.324174049,FALSE,TRUE,NM,0.1343585,0
Ta2O,Cubic,I-43m,217,12,1.786330005,0.224600543,FALSE,213.0970657,11.77885156,FALSE,TRUE,NM,1.04239,0
MgO,Cubic,Pm-3m,221,2,0.748437905,-2.289871265,FALSE,18.8501917,3.550469504,FALSE,FALSE,NM,0.0019019,2.2579
SrO,Cubic,Pm-3m,221,2,0.41537887,-2.660244658,FALSE,31.00957363,5.548740005,FALSE,FALSE,NM,0.0011184,2.7426
ClO,Cubic,Pm-3m,221,2,1.553272651,1.288620237,FALSE,32.31595457,2.643855687,FALSE,TRUE,FM,2.9999996,0
Ni4O,Cubic,Pm-3m,221,5,1.389964321,0.902730201,FALSE,57.62991492,7.225732745,FALSE,TRUE,FM,2.5957442,0
CuO,Cubic,Pm-3m,221,6,0.335388067,-0.607406876,FALSE,61.21977137,6.472822814,FALSE,TRUE,NM,0.0218272,0
Pb3O,Cubic,Pm-3m,221,4,0.73523079,0.000244621,FALSE,101.9598765,10.38407214,FALSE,TRUE,NM,0.0004008,0
TlO,Cubic,Pm-3m,221,2,0.570393051,-0.432113759,FALSE,32.19618816,11.36637918,FALSE,TRUE,NM,0.0003152,0
ZnO,Cubic,Pm-3m,221,2,0.71720899,-1.073690123,FALSE,19.50542741,6.930472514,FALSE,TRUE,NM,0.0022909,0
NbO,Cubic,Pm-3m,221,6,0,-2.287660931,TRUE,76.75730698,7.06808157,FALSE,TRUE,NM,0,0
PdO,Cubic,Pm-3m,221,2,0.819120798,0.029294393,FALSE,22.31912879,9.107980786,FALSE,TRUE,NM,0.0109847,0
TiO,Cubic,Pm-3m,221,6,0.112576613,-2.795379666,FALSE,68.2508511,4.661596912,FALSE,TRUE,FM,0.8480999,0
MgO,Cubic,Pm-3n,223,12,0.13565796,-2.90265121,FALSE,179.4613075,2.237597564,TRUE,FALSE,NM,0.0009241,2.8821
Cr3O,Cubic,Pm-3n,223,8,1.807543012,0.821464775,FALSE,142.0724851,4.020374454,FALSE,TRUE,FM,30.2109728,0
W3O,Cubic,Pm-3n,223,8,3.105506623,2.341756676,FALSE,123.5164829,15.25930974,FALSE,TRUE,NM,0.0225506,0
Pd2O,Cubic,Pn-3m,224,6,0.138669327,-0.38788161,FALSE,93.72186531,8.109031172,FALSE,TRUE,NM,2.82E-05,0
Zr2O,Cubic,Pn-3m,224,6,0.228009072,-1.771641915,FALSE,115.953628,5.683818025,FALSE,TRUE,NM,0.0763002,0
Pt2O,Cubic,Pn-3m,224,6,0.435587937,-0.046701992,FALSE,93.94723336,14.35820537,FALSE,TRUE,NM,0.0002363,0
Ag2O,Cubic,Pn-3m,224,6,0,-0.315633858,TRUE,107.4422232,7.163037726,FALSE,TRUE,NM,0,0
Cu2O,Cubic,Pn-3m,224,6,0,-0.644505438,TRUE,76.58690827,6.204947168,TRUE,FALSE,NM,0,0.5127
Pb2O,Cubic,Pn-3m,224,6,0.356317426,-0.623664132,FALSE,163.8787153,8.722243355,FALSE,TRUE,NM,3.00E-07,0
ZrO,Cubic,Fm-3m,225,2,0.346729604,-2.559904768,FALSE,24.73907117,7.197062628,FALSE,TRUE,NM,0.0023518,0
CeO,Cubic,Fm-3m,225,2,0,-3.232231492,TRUE,30.62205766,8.465653205,FALSE,TRUE,NM,0.0232655,0
PdO,Cubic,Fm-3m,225,2,0.449284993,-0.340541412,FALSE,23.50003188,8.650294486,FALSE,TRUE,NM,6.00E-07,0
CdO,Cubic,Fm-3m,225,2,0,-1.346151347,TRUE,26.32170195,8.100938389,FALSE,TRUE,NM,3.00E-07,0
PrO,Cubic,Fm-3m,225,2,0.068711215,-3.039014093,FALSE,32.74961356,7.95582781,FALSE,TRUE,NM,0,0
PtO,Cubic,Fm-3m,225,2,0.929424186,0.205989293,FALSE,24.74471966,14.16513247,FALSE,TRUE,NM,0.0006556,0
Os3O,Cubic,Fm-3m,225,4,1.160566933,0.656791606,FALSE,52.98187057,18.38781187,FALSE,TRUE,NM,0.0002578,0
Pb3O,Cubic,Fm-3m,225,4,0.737046285,0.002060116,FALSE,99.55429154,10.63498817,FALSE,TRUE,NM,2.32E-05,0
LaO,Cubic,Fm-3m,225,2,0.025611121,-3.204329645,FALSE,33.99115179,7.567427836,FALSE,TRUE,NM,3.97E-05,0
Cr2O,Cubic,Fm-3m,225,3,1.321849611,0.007078628,FALSE,46.96013026,4.24297672,FALSE,TRUE,FM,9.7673402,0
ThO,Cubic,Fm-3m,225,2,0.282979707,-2.992862922,FALSE,33.13006617,12.43208782,FALSE,TRUE,NM,0.001822,0
Mo2O,Cubic,Fm-3m,225,3,2.457890923,1.447113328,FALSE,43.54746549,7.926795761,FALSE,TRUE,FM,2.9666704,0
MgO,Cubic,Fm-3m,225,2,0,-3.03830917,TRUE,18.44277009,3.628903382,TRUE,FALSE,NM,0,4.4292
BaO,Cubic,Fm-3m,225,2,0,-2.823642708,TRUE,43.45357521,5.859229671,TRUE,FALSE,NM,0,2.0906
Rb2O,Cubic,Fm-3m,225,6,0.003169587,-1.129998787,FALSE,154.6236077,4.015077324,FALSE,FALSE,NM,0,1.3192
CuO,Cubic,Fm-3m,225,2,0.17112738,-0.771667562,FALSE,18.96364203,6.965341578,FALSE,TRUE,NM,0.0001286,0
SmO,Cubic,Fm-3m,225,2,0.111125698,-3.107168025,FALSE,30.62507507,9.020264674,FALSE,TRUE,NM,1.37E-05,0
BeO,Cubic,Fm-3m,225,2,0.481474728,-2.621381075,FALSE,12.14922896,3.418546903,FALSE,FALSE,NM,0,8.1681
FeO,Cubic,Fm-3m,225,4,0.410174745,-1.071344643,FALSE,38.72049868,6.162133081,FALSE,TRUE,FM,8.000114,0
TaO,Cubic,Fm-3m,225,2,1.115145126,-1.227449066,FALSE,22.89196349,14.28617744,FALSE,TRUE,NM,0.0001044,0
MnO,Cubic,Fm-3m,225,4,0.053368563,-1.979201204,FALSE,43.99570228,5.354813884,FALSE,FALSE,FM,10.000525,0.1844
NiO,Cubic,Fm-3m,225,2,0,-1.2180853,TRUE,18.34183363,6.762154478,FALSE,FALSE,FM,2.0000001,2.3009
CoO,Cubic,Fm-3m,225,4,0.036914996,-1.23491615,FALSE,38.3125781,6.495438705,FALSE,TRUE,FM,5.9999998,0
CrO,Cubic,Fm-3m,225,2,0.367513572,-1.604642903,FALSE,22.04507703,5.121741419,FALSE,TRUE,FM,3.9999761,0
VO,Cubic,Fm-3m,225,4,0.021835318,-2.09028776,FALSE,41.8041727,5.318032743,FALSE,FALSE,FM,5.9333946,0.9701
Li2O,Cubic,Fm-3m,225,3,0,-2.061597914,TRUE,25.19634879,1.969302476,FALSE,FALSE,NM,0,4.8986
EuO,Cubic,Fm-3m,225,2,0,-3.123422545,TRUE,32.83483915,8.494324767,FALSE,TRUE,FM,6.9968773,0
ZnO,Cubic,Fm-3m,225,2,0.14726734,-1.643631772,FALSE,20.42086466,6.619789653,FALSE,FALSE,NM,0,0.7219
