Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,Band Gap
SnS,Cubic,F-43m,216,2,0.278386371,-0.193213816,FALSE,69.62035216,3.596186604,FALSE,FALSE,NM,0.0002162,0.1654
ZnS,Cubic,F-43m,216,2,0.000146246,-0.962071176,FALSE,39.09033503,4.140649725,TRUE,FALSE,NM,0,2.0192
SO4,Cubic,F-43m,216,5,0.162053839,-1.102408383,FALSE,108.6234219,1.468520301,FALSE,TRUE,FM,1.9997925,0
HgS,Cubic,F-43m,216,2,0,-0.375059003,TRUE,52.37828747,7.375818019,FALSE,TRUE,NM,1.00E-07,0
MgS,Cubic,F-43m,216,2,0.034344235,-1.627159214,FALSE,45.48046821,2.058127167,TRUE,FALSE,NM,0,3.3692
MnS,Cubic,F-43m,216,2,0.011914475,-1.127963331,FALSE,30.2654037,4.773501672,FALSE,TRUE,FM,0.2883334,0
CdS,Cubic,F-43m,216,2,0.002713223,-0.773414239,FALSE,50.97769334,4.706137655,TRUE,FALSE,NM,0,1.0492
Ag8S,Cubic,F-43m,216,9,0.268663056,0.229311974,FALSE,190.08263,7.8187053,FALSE,TRUE,NM,0.0003997,0
BeS,Cubic,F-43m,216,2,0,-1.307251374,TRUE,28.88072105,2.36179233,FALSE,FALSE,NM,0,3.1453
CuS,Cubic,F-43m,216,2,0.009944082,-0.267360409,FALSE,34.34822658,4.622241569,FALSE,TRUE,NM,2.50E-06,0
SCl4,Cubic,P-43n,218,160,0,-0.637899176,TRUE,4855.31116,1.902935844,TRUE,FALSE,NM,0,2.6189
EuS,Cubic,Pm-3m,221,2,0.33348016,-2.128604706,FALSE,44.96341026,6.796356018,FALSE,TRUE,FM,7.0005199,0
CeS,Cubic,Pm-3m,221,2,0.37212506,-1.869161764,FALSE,43.33605459,6.597584384,FALSE,TRUE,FM,1.6453109,0
LaS,Cubic,Pm-3m,221,2,0.31961465,-2.110316451,FALSE,45.70806709,6.211226217,FALSE,TRUE,NM,0.2856756,0
KS,Cubic,Pm-3m,221,2,0.469874542,-0.629124645,FALSE,56.51315832,2.091007533,FALSE,TRUE,FM,0.9999239,0
CsS,Cubic,Pm-3m,221,2,0.533046705,-0.574380124,FALSE,75.71289677,3.618140263,FALSE,TRUE,FM,0.9998789,0
RbS,Cubic,Pm-3m,221,2,0.493650271,-0.665333805,FALSE,64.60569277,3.020907255,FALSE,TRUE,FM,0.9999953,0
NaS,Cubic,Pm-3m,221,2,0.375255721,-0.628533963,FALSE,39.32193229,2.324926317,FALSE,TRUE,NM,0.0100287,0
SrS,Cubic,Pm-3m,221,2,0.299629805,-2.124879569,FALSE,49.36753236,4.025755566,FALSE,FALSE,NM,0,1.7896
TlS,Cubic,Pm-3m,221,2,0.308629392,-0.193104908,FALSE,46.48649449,8.446144276,FALSE,TRUE,NM,0.0001987,0
In3S,Cubic,Pm-3m,221,4,0.221909311,-0.119528649,FALSE,105.7736202,5.910968235,FALSE,TRUE,NM,0.0014742,0
Pb3S,Cubic,Pm-3m,221,4,0.328426303,-0.063358386,FALSE,113.3945222,9.57221079,FALSE,TRUE,NM,0.0021568,0
Th3S,Cubic,Pm-3m,221,4,0.735964227,-0.277537547,FALSE,106.6341198,11.33942849,FALSE,TRUE,NM,0.0202912,0
Tb3S,Cubic,Pm-3m,221,4,0.73032179,-0.405163754,FALSE,97.86358042,8.633962079,FALSE,TRUE,NM,0.0003957,0
Zr3S,Cubic,Pm-3m,221,4,0.615779533,-0.338418326,FALSE,77.94318326,6.513568107,FALSE,TRUE,NM,0.0003905,0
PbS,Cubic,Pm-3m,221,2,0.258718125,-0.524851251,FALSE,48.77351273,8.145996823,FALSE,TRUE,NM,0.0016701,0
MnS,Cubic,Pm-3m,221,2,0.434403085,-0.705474721,FALSE,29.76333177,4.854024954,FALSE,TRUE,FM,3.2864285,0
Mn3S,Cubic,Pm-3m,221,4,0.392273036,-0.177665867,FALSE,45.82294946,7.134536273,FALSE,TRUE,FM,5.3905089,0
Au2S,Cubic,Pn-3m,224,6,0,-0.118021208,TRUE,146.6952238,9.644302411,TRUE,FALSE,NM,0,1.9091
NpS,Cubic,Fm-3m,225,2,0,-1.909038458,TRUE,43.62528971,10.24160405,FALSE,TRUE,FM,4.1273944,0
K2S,Cubic,Fm-3m,225,3,0,-1.247566038,TRUE,101.8770771,1.797202075,FALSE,FALSE,NM,0,2.3201
CuS,Cubic,Fm-3m,225,2,0.124905972,-0.152398519,FALSE,29.05010314,5.465240516,FALSE,TRUE,NM,0.0021995,0
RbS,Cubic,Fm-3m,225,2,0.590676851,-0.568307225,FALSE,78.80959353,2.476447311,FALSE,TRUE,FM,0.999955,0
