Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,Band Gap
CaSe,Cubic,F-43m,216,2,0.258026135,-2.057931685,FALSE,71.874,2.750191299,FALSE,FALSE,NM,0.0002196,3.1661
ZnSe,Cubic,F-43m,216,2,0,-0.951561031,TRUE,45.44784772,5.274845269,TRUE,FALSE,NM,0,1.1663
MgSe,Cubic,F-43m,216,2,0.005939895,-1.468356819,FALSE,52.33941428,3.2762225,TRUE,FALSE,NM,0,2.5476
BeSe,Cubic,F-43m,216,2,0,-1.029387864,TRUE,34.505773,4.233530574,FALSE,FALSE,NM,0,2.6637
Cu2Se,Cubic,F-43m,216,3,0.149383461,-0.008857886,FALSE,48.38873202,7.07101388,FALSE,TRUE,NM,0.0004638,0
MnSe,Cubic,F-43m,216,2,0.00354056,-0.946361377,FALSE,51.89704653,4.284308059,FALSE,FALSE,FM,5.0000003,0.0484
CdSe,Cubic,F-43m,216,2,0.000553683,-0.837052511,FALSE,57.88422347,5.489907313,TRUE,FALSE,NM,0,0.5096
AgSe,Cubic,F-43m,216,2,0.020151804,-0.079851703,FALSE,53.38705786,5.811062405,FALSE,TRUE,NM,2.22E-05,0
HgSe,Cubic,F-43m,216,2,0.001414385,-0.235506328,FALSE,59.37040878,7.818772106,FALSE,TRUE,NM,2.00E-07,0
SeCl4,Cubic,P-43n,218,160,0.013799672,-0.336025835,FALSE,4862.786344,2.412447547,TRUE,FALSE,NM,0.0056229,2.9348
CeSe,Cubic,Pm-3m,221,2,0.256403385,-1.792474516,FALSE,48.53214419,7.495738394,FALSE,TRUE,FM,1.7666529,0
EuSe,Cubic,Pm-3m,221,2,0.293428945,-2.063868537,FALSE,53.83981362,7.122207482,FALSE,TRUE,FM,6.999994,0
LaSe,Cubic,Pm-3m,221,2,0.243305315,-2.020677942,FALSE,51.21269738,7.064148984,FALSE,TRUE,FM,0.5226202,0
CsSe,Cubic,Pm-3m,221,2,0.359879868,-0.729525776,FALSE,82.77770804,4.250067658,FALSE,TRUE,FM,0.9999894,0
ThSe,Cubic,Pm-3m,221,2,0.178233575,-1.543912165,FALSE,48.94110359,10.55195716,FALSE,TRUE,NM,8.09E-05,0
TlSe,Cubic,Pm-3m,221,2,0.196235181,-0.176917935,FALSE,52.84641989,8.903207065,FALSE,TRUE,NM,0.000379,0
BaSe,Cubic,Pm-3m,221,2,0.201262085,-2.082499696,FALSE,64.70065341,5.550995147,FALSE,FALSE,NM,0,1.2126
Ba3Se,Cubic,Pm-3m,221,4,0.545585938,-0.596294953,FALSE,162.502911,5.016689886,FALSE,TRUE,NM,1.1705305,0
Co3Se,Cubic,Pm-3m,221,4,0.404886301,0.251843487,FALSE,45.37025836,9.360730971,FALSE,TRUE,FM,0.6610905,0
Ga3Se,Cubic,Pm-3m,221,4,0.245543786,-0.099465568,FALSE,87.0835139,5.494145094,FALSE,TRUE,NM,0.0138571,0
Fe3Se,Cubic,Pm-3m,221,4,0.437930018,0.183970637,FALSE,46.25312425,8.849447121,FALSE,TRUE,FM,7.8106495,0
Hf3Se,Cubic,Pm-3m,221,4,0.50644829,-0.1964217,FALSE,81.66070021,12.49419875,FALSE,TRUE,NM,0.0009693,0
In3Se,Cubic,Pm-3m,221,4,0.152077869,-0.186285387,FALSE,110.8519564,6.342652952,FALSE,TRUE,NM,0.0026486,0
Sn3Se,Cubic,Pm-3m,221,4,0.271122637,0.044349483,FALSE,106.6231241,6.776053026,FALSE,TRUE,NM,0.0009608,0
