Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,Band Gap
SrGa,Cubic,P2_13,198,64,0.025159351,-0.457062563,FALSE,1996.260908,4.188217238,FALSE,TRUE,NM,0.0719921,0
SrAl,Cubic,P2_13,198,64,0.029386352,-0.191402564,FALSE,2085.784256,2.919578382,FALSE,TRUE,NM,0.0002856,0
SrC20,Cubic,Pm-3,200,126,0.283644912,0.269808146,FALSE,1407.769624,2.320185725,FALSE,FALSE,NM,0.0003288,0.3118
SrC10,Cubic,Im-3,204,66,0.235240933,0.208825287,FALSE,677.1143098,3.056548595,FALSE,TRUE,NM,0.0009735,0
SrSi2,Cubic,P4_332,212,12,0,-0.407718827,TRUE,280.1646776,3.409003233,FALSE,TRUE,NM,0,0
SrSi2,Cubic,P4_132,213,12,0.003090472,-0.404628354,FALSE,282.8097665,3.377119198,FALSE,TRUE,NM,0,0
SrMg,Cubic,F-43m,216,2,0.763953161,0.696332211,FALSE,120.8524632,1.537873785,FALSE,TRUE,NM,0.2148265,0
SrO,Cubic,Pm-3m,221,2,0.41537887,-2.660244658,FALSE,31.00957363,5.548740005,FALSE,FALSE,NM,0.0011184,2.7426
SrS,Cubic,Pm-3m,221,2,0.299629805,-2.124879569,FALSE,49.36753236,4.025755566,FALSE,FALSE,NM,0,1.7896
SrTe,Cubic,Pm-3m,221,2,0.241547895,-1.776144405,FALSE,68.3133982,5.231495246,TRUE,FALSE,NM,0,0.4699
SrMg3,Cubic,Pm-3m,221,4,0.102615657,0.025682325,FALSE,120.7388091,2.207862088,FALSE,TRUE,NM,0.0024887,0
SrSn3,Cubic,Pm-3m,221,4,0.056590987,-0.354604393,FALSE,113.7432115,6.478313746,FALSE,TRUE,NM,2.10E-06,0
SrSm3,Cubic,Pm-3m,221,4,0.168075947,0.168075947,FALSE,146.5467274,6.104076227,FALSE,TRUE,NM,0.0310811,0
SrYb3,Cubic,Pm-3m,221,4,0.282763251,0.282763251,FALSE,138.0808189,7.296563575,FALSE,TRUE,FM,2.9220803,0
SrCa3,Cubic,Pm-3m,221,4,0.031311877,0.031311877,FALSE,186.8319706,1.847380221,FALSE,TRUE,NM,0.0118962,0
SrIn3,Cubic,Pm-3m,221,4,0.052577543,-0.278981077,FALSE,113.3503411,6.329718548,FALSE,TRUE,NM,0,0
SrEu3,Cubic,Pm-3m,221,4,0.072592119,0.072592119,FALSE,189.5322982,4.76184227,FALSE,TRUE,FM,23.2645016,0
SrPr3,Cubic,Pm-3m,221,4,0.128854857,0.128854857,FALSE,154.2268478,5.494791718,FALSE,TRUE,NM,0.052152,0
SrCe3,Cubic,Pm-3m,221,4,0.369108132,0.369108132,FALSE,130.0944073,6.483758418,FALSE,TRUE,FM,3.2793174,0
SrHg11,Cubic,Pm-3m,221,36,0.05080219,-0.093806295,FALSE,1043.418867,10.95281885,FALSE,TRUE,NM,0.000147,0
SrTl3,Cubic,Pm-3m,221,4,0.029404816,-0.294486413,FALSE,120.8605985,9.628082356,FALSE,TRUE,NM,3.60E-06,0
SrPb3,Cubic,Pm-3m,221,4,0,-0.424018612,TRUE,125.3620184,9.394292876,FALSE,TRUE,NM,6.00E-07,0
SrBi3,Cubic,Pm-3m,221,4,0.051393768,-0.456323371,FALSE,128.9574751,9.201147797,FALSE,TRUE,NM,4.10E-06,0
SrB6,Cubic,Pm-3m,221,7,0,-0.519013228,TRUE,73.57091184,3.441699359,FALSE,TRUE,NM,0,0
SrTl,Cubic,Pm-3m,221,2,0,-0.49406603,TRUE,67.0645978,7.230087157,FALSE,TRUE,NM,2.00E-06,0
SrMg,Cubic,Pm-3m,221,2,0.046758608,-0.020862343,FALSE,73.57681458,2.526010892,FALSE,TRUE,NM,0,0
SrCd,Cubic,Pm-3m,221,2,0,-0.304311805,TRUE,65.72551773,5.053734098,FALSE,TRUE,NM,2.40E-06,0
SrHg,Cubic,Pm-3m,221,2,0,-0.525794336,TRUE,62.2402327,7.689302299,FALSE,TRUE,NM,9.00E-06,0
SrSi,Cubic,Pm-3m,221,2,0.372747883,-0.154099235,FALSE,55.01881226,3.492141962,FALSE,TRUE,NM,0.0022772,0
Rb3Sr,Cubic,Pm-3m,221,4,0.136833767,0.136833767,FALSE,318.4214176,1.794051103,FALSE,TRUE,NM,0.1196556,0
SrN,Cubic,Fm-3m,225,2,0.434325827,-0.234501642,FALSE,39.11903733,4.313886974,FALSE,TRUE,FM,1.0000855,0
