Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,Band Gap
CrTe,Cubic,F-43m,216,2,0.300417024,-0.087500668,FALSE,60.84960242,4.901040079,FALSE,TRUE,FM,4,0
MnTe,Cubic,F-43m,216,2,0,-0.611468777,TRUE,64.9216967,4.668879131,FALSE,TRUE,FM,4.9999971,0
RbTe,Cubic,F-43m,216,2,0.600376153,-0.448348127,FALSE,148.3514461,2.384927246,FALSE,TRUE,FM,0.9999999,0
TePd4,Cubic,F-43m,216,25,0.225477226,0.000907649,FALSE,489.202219,9.390217573,FALSE,TRUE,NM,0.1572516,0
MgTe,Cubic,F-43m,216,2,0,-1.071569803,TRUE,67.52173262,3.735748138,TRUE,FALSE,NM,0,2.3186
SnTe,Cubic,F-43m,216,2,0.252498435,-0.012551445,FALSE,94.18139917,4.342761746,FALSE,FALSE,NM,0,0.0774
ZnTe,Cubic,F-43m,216,6,0,-0.684163033,TRUE,171.1774843,5.616959252,TRUE,FALSE,NM,0,1.0733
BeTe,Cubic,F-43m,216,2,0,-0.570361941,TRUE,45.40050984,4.996636953,FALSE,FALSE,NM,0,2.0173
HgTe,Cubic,F-43m,216,2,0,-0.190136609,TRUE,71.22155217,7.651789376,FALSE,TRUE,NM,0,0
CdTe,Cubic,F-43m,216,2,0,-0.560740005,TRUE,70.71162283,5.636239503,TRUE,FALSE,NM,0,0.5846
CeTe,Cubic,Pm-3m,221,2,0.11834282,-1.453522843,FALSE,57.55443838,7.724041607,FALSE,TRUE,FM,1.7705138,0
LaTe,Cubic,Pm-3m,221,2,0.12929045,-1.675274396,FALSE,60.98116577,7.257039756,FALSE,TRUE,FM,0.6330432,0
SmTe,Cubic,Pm-3m,221,2,0.106175475,-1.50820061,FALSE,56.85247116,8.118617002,FALSE,TRUE,FM,0.5765167,0
SrTe,Cubic,Pm-3m,221,2,0.241547895,-1.776144405,FALSE,68.3133982,5.231495246,TRUE,FALSE,NM,0,0.4699
CaTe,Cubic,Pm-3m,221,2,0.312249995,-1.60526402,FALSE,60.51561883,4.601057958,FALSE,TRUE,NM,0.0001647,0
UTe,Cubic,Pm-3m,221,2,0.096336417,-0.874058412,FALSE,52.84777181,11.48848983,FALSE,TRUE,FM,3.6815216,0
Cu3Te,Cubic,Pm-3m,221,4,0.179969594,0.13786728,FALSE,61.47376356,8.596295409,FALSE,TRUE,NM,0.0003361,0
Eu3Te,Cubic,Pm-3m,221,4,0.244144242,-0.752145881,FALSE,137.0575915,7.069373174,FALSE,TRUE,FM,22.8739197,0
Sn3Te,Cubic,Pm-3m,221,4,0.235293215,0.102768275,FALSE,115.1900852,6.973278659,FALSE,TRUE,NM,0.0043238,0
SbTe,Cubic,Pm-3m,221,2,0.308592907,-0.013603193,FALSE,56.03389059,7.389671095,FALSE,TRUE,NM,0.0046797,0
HgTe,Cubic,Pm-3m,221,2,0.421998095,0.231861486,FALSE,55.34201473,9.847352305,FALSE,TRUE,NM,0.0002275,0
